,host_response_rate,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
14354,0.9,1.0,1.0,1.0,365.0,365.0,1.0,365.0,4.43,4.9,4.8,4.9,4.57,4.71,4.43,0.43
14355,0.94,3.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.71,4.77,4.66,4.83,4.92,4.92,4.79,3.12
14356,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.91,4.93,4.93,4.91,4.78,4.91,4.84,2.73
14357,0.95,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.87,4.77,4.9,4.9,4.65,4.84,4.74,1.83
14358,0.9,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.47,4.63,4.53,4.74,4.79,4.84,4.37,2.64
14359,1.0,1.0,1.6,1.9,360.0,360.0,1.8,360.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14360,1.0,1.0,1.6,5.0,360.0,360.0,5.0,360.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14361,0.9,1.6,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.88,4.96,4.96,4.9,4.88,4.96,4.85,4.14
14362,0.9,1.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.43
14363,0.9,2.0,3.0,3.0,365.0,365.0,3.0,365.0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,1.01
14364,1.0,1.0,3.0,3.0,365.0,365.0,3.0,365.0,5.0,5.0,4.83,5.0,4.83,5.0,5.0,0.37
14365,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.57,4.57,4.8,4.5,4.71,4.64,4.57,0.83
14366,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.79,4.92,4.83,4.67,4.79,4.96,4.88,1.48
14367,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.93
14368,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.36,4.82,4.8,4.55,4.55,4.82,4.45,0.68
14369,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.91,5.0,5.0,5.0,5.0,4.91,4.73,0.71
14370,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.8,4.9,4.8,4.9,5.0,4.9,4.8,0.51
14371,1.0,2.0,1.0,1.0,365.0,365.0,1.0,365.0,4.78,4.85,4.78,4.93,5.0,4.93,4.74,2.11
14372,0.88,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,5.0,4.91,5.0,4.91,4.82,5.0,4.91,0.67
14373,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14374,1.0,1.0,1.0,2.0,1125.0,1125.0,1.8,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.18
14375,0.96,1.0,1.0,1.0,365.0,365.0,1.0,365.0,4.73,4.95,5.0,4.86,4.73,4.59,4.82,1.34
14376,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.74,4.63,4.74,4.74,4.79,4.68,4.63,1.26
14377,0.9,1.0,1.0,1.0,5.0,5.0,1.0,5.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14378,1.0,1.6,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.9,5.0,4.95,4.95,5.0,4.95,4.76,1.91
14379,1.0,3.0,2.0,2.0,365.0,365.0,2.0,365.0,5.0,5.0,4.98,5.0,5.0,5.0,4.94,3.51
14380,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.81,4.75,4.77,4.79,4.82,4.68,4.79,3.37
14381,1.0,3.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.81,4.92,4.36,4.89,4.94,4.97,4.78,2.19
14382,1.0,1.0,3.0,3.0,7.0,7.0,3.0,7.0,4.8,4.9,4.5,5.0,4.5,4.9,4.8,0.12
14383,1.0,1.6,1.0,2.0,60.0,60.0,2.0,60.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14384,0.9,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.91,4.91,4.73,5.0,5.0,5.0,4.36,0.65
